,listed_price,value,value_description,make_and_model,year,mileage,trim_level,color,location,additional_description,discount,car_URL,thumbnail_URL,make_first,make_second,state,Accident,Past Owners,Usage,is_Excellent_Price,is_Great_Price,is_Fleet_Use,is_Personal_Use
478,7995,Excellent Price,"$1,122 off avg. list price",Honda CR-V,2009,95477,EX 4WD,"White exterior, Unknown interior","Abingdon, MD","1 accident, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3CZRE485X9G704905/2009-honda-cr-v/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,CR-V, MD,1,2, Personal use,1,0,0,1
479,10647,Excellent Price,$970 off avg. list price,Nissan Sentra,2019,40685,SV CVT,"Gray exterior, Black interior","Phoenix, AZ","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP6KL612439/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, AZ,0,1, Personal use,1,0,0,1
480,19400,Excellent Price,"$1,925 off avg. list price",Ram 1500,2014,66808,"Tradesman Crew Cab 5'7"" Box 2WD","Black exterior, Gray interior","Albuquerque, NM","1 accident, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6KG0ES311375/2014-ram-1500/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Ram,1500, NM,1,1, Personal use,1,0,0,1
481,13444,Excellent Price,"$2,141 off avg. list price",Nissan Altima,2019,44695,SR FWD,"Gray exterior, Black interior","Davie, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4CV3KC172576/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/33176/76/25/1N4BL4CV3KC172576/CJJPEPEGI7GBLM3XBKK2MUN43Y-318.jpg,Nissan,Altima, FL,0,1, Personal use,1,0,0,1
482,13925,Excellent Price,"$1,972 off avg. list price",Nissan Altima,2018,37351,2.5 S,"White exterior, Black interior","Murfreesboro, TN","1 accident, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP1JC472500/2018-nissan-altima/,https://listings-prod.tcimg.net/listings/67243/00/25/1N4AL3AP1JC472500/W6BB2CBNLS27S7DZX7BI2UBPVY-318.jpg,Nissan,Altima, TN,1,1, Personal use,1,0,0,1
483,7499,Excellent Price,$871 off avg. list price,Honda Civic,2012,108367,LX Sedan Automatic,"Gray exterior, Gray interior","Lemon Grove, CA","2 accidents, 4 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/2HGFB2F57CH320565/2012-honda-civic/,https://listings-prod.tcimg.net/listings/151044/65/05/2HGFB2F57CH320565/G7MJXBYOOVIZ27TIUFWW6P7E5A-318.jpg,Honda,Civic, CA,2,4, Personal use,1,0,0,1
484,6344,Excellent Price,$848 off avg. list price,Honda Accord,2010,146561,LX Sedan I4 Automatic,"White exterior, Gray interior","Ft Collins, CO","1 accident, 3 Owners, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1HGCP2F38AA010066/2010-honda-accord/,https://listings-prod.tcimg.net/listings/174871/66/00/1HGCP2F38AA010066/VAEXGO3AYMJ4PCPTZB72Z7RGDE-318.jpg,Honda,Accord, CO,1,3, Personal use,1,0,0,1
485,14989,Excellent Price,"$2,523 off avg. list price",Honda Accord,2018,151637,Hybrid EX,"Silver exterior, Black interior","Chamblee, GA","3 accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1HGCV3F49JA002725/2018-honda-accord/,https://listings-prod.tcimg.net/listings/1002/25/27/1HGCV3F49JA002725/A5HMOR7TEDYG5EX3BILII4FMQI-318.jpg,Honda,Accord, GA,3,1, Personal use,1,0,0,1
486,7388,Excellent Price,,Lexus ES,2012,178187,ES 350,"Gray exterior, Gray interior","Conroe, TX","No accidents, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/JTHBK1EG6C2505711/2012-lexus-es/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Lexus,ES, TX,0,2, Personal use,1,0,0,1
487,7900,Excellent Price,"$1,235 off avg. list price",Jaguar XK8,2000,96306,Convertible,"Gray exterior, Unknown interior","Marietta, GA","1 accident, 5 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/SAJJA42C8YNA00458/2000-jaguar-xk8/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jaguar,XK8, GA,1,5, Personal use,1,0,0,1
